,Date,Line Item,Value,FY,FM,Quarter,Month,Group
1,1/1/2015,Storage_Income,0,2015,10,4,Jan,FY15 Q4
2,2/1/2015,Storage_Income,1813.02,2015,11,4,Feb,FY15 Q4
3,3/1/2015,Storage_Income,59003.98,2015,12,4,Mar,FY15 Q4
4,4/1/2015,Storage_Income,62756.11,2016,1,1,Apr,FY15 Q4
5,5/1/2015,Storage_Income,64547.28,2016,2,1,May,FY15 Q4
6,6/1/2015,Storage_Income,95258.44,2016,3,1,Jun,FY15 Q4
7,7/1/2015,Storage_Income,70362.09,2016,4,2,Jul,FY15 Q4
8,8/1/2015,Storage_Income,69222.72,2016,5,2,Aug,FY15 Q4
9,9/1/2015,Storage_Income,74188.65,2016,6,2,Sep,FY15 Q4
10,10/1/2015,Storage_Income,78819.98,2016,7,3,Oct,FY15 Q4
11,11/1/2015,Storage_Income,74823.45,2016,8,3,Nov,FY15 Q4
12,12/1/2015,Storage_Income,73924,2016,9,3,Dec,FY15 Q4
13,1/1/2016,Storage_Income,76942.39,2016,10,4,Jan,FY15 Q4
14,2/1/2016,Storage_Income,78936.54,2016,11,4,Feb,FY15 Q4
15,3/1/2016,Storage_Income,77767.9,2016,12,4,Mar,FY15 Q4
16,4/1/2016,Storage_Income,76635.61,2017,1,1,Apr,FY15 Q4
17,5/1/2016,Storage_Income,78626.73,2017,2,1,May,FY15 Q4
18,6/1/2016,Storage_Income,80431.98,2017,3,1,Jun,FY15 Q4
19,7/1/2016,Storage_Income,83511.94,2017,4,2,Jul,FY15 Q4
20,8/1/2016,Storage_Income,87522.91,2017,5,2,Aug,FY15 Q4
21,9/1/2016,Storage_Income,83782.35,2017,6,2,Sep,FY15 Q4
22,10/1/2016,Storage_Income,86578.05,2017,7,3,Oct,FY15 Q4
23,11/1/2016,Storage_Income,95334.67,2017,8,3,Nov,FY15 Q4
24,12/1/2016,Storage_Income,96263.06,2017,9,3,Dec,FY15 Q4
25,1/1/2017,Storage_Income,98058.25,2017,10,4,Jan,FY15 Q4
26,2/1/2017,Storage_Income,102700.82,2017,11,4,Feb,FY15 Q4
27,3/1/2017,Storage_Income,112278.02,2017,12,4,Mar,FY15 Q4
28,4/1/2017,Storage_Income,113535.8,2018,1,1,Apr,FY15 Q4
29,5/1/2017,Storage_Income,117362.08,2018,2,1,May,FY15 Q4
30,6/1/2017,Storage_Income,123422.57,2018,3,1,Jun,FY15 Q4
31,7/1/2017,Storage_Income,123096.83,2018,4,2,Jul,FY15 Q4
32,8/1/2017,Storage_Income,129453.92,2018,5,2,Aug,FY15 Q4
33,9/1/2017,Storage_Income,135230.94,2018,6,2,Sep,FY15 Q4
34,10/1/2017,Storage_Income,141026.71,2018,7,3,Oct,FY15 Q4
35,11/1/2017,Storage_Income,148659.69,2018,8,3,Nov,FY15 Q4
36,12/1/2017,Storage_Income,158140.42,2018,9,3,Dec,FY15 Q4
37,1/1/2018,Storage_Income,166818.25,2018,10,4,Jan,FY15 Q4
38,2/1/2018,Storage_Income,163749.51,2018,11,4,Feb,FY15 Q4
39,3/1/2018,Storage_Income,180222.29,2018,12,4,Mar,FY15 Q4
40,4/1/2018,Storage_Income,173996.37,2019,1,1,Apr,FY15 Q4
41,5/1/2018,Storage_Income,181631.04,2019,2,1,May,FY15 Q4
42,6/1/2018,Storage_Income,179045.03,2019,3,1,Jun,FY15 Q4
43,1/1/2015,Sales,1239.65,2015,10,4,Jan,FY15 Q4
44,2/1/2015,Sales,2538.08,2015,11,4,Feb,FY15 Q4
45,3/1/2015,Sales,7239.43,2015,12,4,Mar,FY15 Q4
46,4/1/2015,Sales,11642.25,2016,1,1,Apr,FY15 Q4
47,5/1/2015,Sales,19022.73,2016,2,1,May,FY15 Q4
48,6/1/2015,Sales,19869.15,2016,3,1,Jun,FY15 Q4
49,7/1/2015,Sales,23747.18,2016,4,2,Jul,FY15 Q4
50,8/1/2015,Sales,21786.41,2016,5,2,Aug,FY15 Q4
51,9/1/2015,Sales,20169.78,2016,6,2,Sep,FY15 Q4
52,10/1/2015,Sales,17089.15,2016,7,3,Oct,FY15 Q4
53,11/1/2015,Sales,18396.13,2016,8,3,Nov,FY15 Q4
54,12/1/2015,Sales,13513.22,2016,9,3,Dec,FY15 Q4
55,1/1/2016,Sales,16086.97,2016,10,4,Jan,FY15 Q4
56,2/1/2016,Sales,20060.38,2016,11,4,Feb,FY15 Q4
57,3/1/2016,Sales,30138.2,2016,12,4,Mar,FY15 Q4
58,4/1/2016,Sales,35096.86,2017,1,1,Apr,FY15 Q4
59,5/1/2016,Sales,49521.93,2017,2,1,May,FY15 Q4
60,6/1/2016,Sales,49398.22,2017,3,1,Jun,FY15 Q4
61,7/1/2016,Sales,57138.41,2017,4,2,Jul,FY15 Q4
62,8/1/2016,Sales,52677.62,2017,5,2,Aug,FY15 Q4
63,9/1/2016,Sales,47400.05,2017,6,2,Sep,FY15 Q4
64,10/1/2016,Sales,38145.65,2017,7,3,Oct,FY15 Q4
65,11/1/2016,Sales,29160.87,2017,8,3,Nov,FY15 Q4
66,12/1/2016,Sales,30628.58,2017,9,3,Dec,FY15 Q4
67,1/1/2017,Sales,35336.83,2017,10,4,Jan,FY15 Q4
68,2/1/2017,Sales,35578.02,2017,11,4,Feb,FY15 Q4
69,3/1/2017,Sales,51250.53,2017,12,4,Mar,FY15 Q4
70,4/1/2017,Sales,57507.77,2018,1,1,Apr,FY15 Q4
71,5/1/2017,Sales,67615.19,2018,2,1,May,FY15 Q4
72,6/1/2017,Sales,76886.9,2018,3,1,Jun,FY15 Q4
73,7/1/2017,Sales,67456.03,2018,4,2,Jul,FY15 Q4
74,8/1/2017,Sales,65913.87,2018,5,2,Aug,FY15 Q4
75,9/1/2017,Sales,55268.73,2018,6,2,Sep,FY15 Q4
76,10/1/2017,Sales,45585.33,2018,7,3,Oct,FY15 Q4
77,11/1/2017,Sales,45448.4,2018,8,3,Nov,FY15 Q4
78,12/1/2017,Sales,42344.71,2018,9,3,Dec,FY15 Q4
79,1/1/2018,Sales,40061.73,2018,10,4,Jan,FY15 Q4
80,2/1/2018,Sales,42960.01,2018,11,4,Feb,FY15 Q4
81,3/1/2018,Sales,59846.8,2018,12,4,Mar,FY15 Q4
82,4/1/2018,Sales,64160.21,2019,1,1,Apr,FY15 Q4
83,5/1/2018,Sales,80002.45,2019,2,1,May,FY15 Q4
84,6/1/2018,Sales,90279.3,2019,3,1,Jun,FY15 Q4
